apps/highspeed_pos/highspeed_pos/highspeed_pos/doctype/hspos_closing_shift/closing_shift_details.html,Account,Contabilidade
DocType: HSPOS Closing Shift Taxes,Account Head,Chefe de Conta
DocType: HSPOS Offer,Accounts Manager,Gestor de Contas
DocType: HSPOS Offer,Accounts User,Usuário de Contas
Custom Field - label: Sales Invoice-hspos_additional_notes_section,Additional Notes,Notas adicionais
DocType: HSPOS Closing Shift,Administrator,Administrador
Custom Field - label: POS Profile-hspos_allow_sales_order,Allow Create Sales Order,Permitir Criar Ordem de Vendas
Custom Field - label: POS Profile-hspos_allow_credit_sale,Allow Credit Sale,Permitir Credito de Venda
Custom Field - label: POS Profile-hspos_allow_partial_payment,Allow Partial Payment,Permitir Pagamento Parcial
Custom Field - label: POS Profile-hspos_allow_return,Allow Return,Permitir Devolução
Custom Field - label: POS Profile-hspos_allow_submissions_in_background_job,Allow Submissions in background job,Permitir Submissões em trabalho de segundo plano
Custom Field - label: POS Profile-hspos_allow_user_to_edit_item_discount,Allow User to Edit Item Discount,Permitir Usuário Editar Desconto de Item
Custom Field - label: POS Profile-hspos_allow_user_to_edit_additional_discount,Allow user to edit Additional Discount,Permitir Usuário Editar Desconto Adicional
Custom Field - label: POS Profile-hspos_allow_user_to_edit_rate,Allow user to edit Rate,Permitir Usuário Editar Preço
DocType: HSPOS Closing Shift,Amended From,Corrigido Apartir
DocType: HSPOS Closing Shift Taxes,Amount,Valor
Custom Field - label: POS Profile-hspos_apply_customer_discount,Apply Customer Discount,Aplicar Desconto de Cliente
DocType: HSPOS Offer,Apply For,Aplicar Para
DocType: HSPOS Offer Detail,Apply On,Aplicar Em
DocType: HSPOS Offer,Apply Rule On Brand,Aplicar Regra na Marca
DocType: HSPOS Offer,Apply Rule On Item Code,Aplicar Regra no Codigo do Item
DocType: HSPOS Offer,Apply Rule On Item Group,Aplicar Regra no Grupo do Item
DocType: HSPOS Offer,Apply Type,Aplicar Tipo
DocType: HSPOS Offer,Auto Apply,Auto Aplicar
Custom Field - label: POS Profile-hspos_allow_delete,Auto Delete Draft Invoice,Auto Apagar Factura Rascunho
Custom Field - label: POS Profile-hspos_auto_set_batch,Auto Set Batch,Auto Definir Lote
DocType: HSPOS Offer,Brand,Marca
DocType: HSPOS Opening Shift,Cancelled,Cancelado
Custom Field - label: POS Profile-hspos_cash_mode_of_payment,Cash Mode of Payment,Modo de Pagamento em Dinheiro
DocType: HSPOS Closing Shift,Cashier,Caixa
DocType: HSPOS Opening Shift,Closed,Fechado
DocType: HSPOS Closing Shift Detail,Closing Amount,Valor de Fecho
DocType: HSPOS Closing Shift,Company,Empresa
